Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement,bertz_complexity,n_functional_groups,n_heteroatoms,n_rotatable_bonds,composite_complexity,complexity_quartile
CCCOCCO,CCCOCCO,polar-protic,51,0.6273124705126402,0.6008013033474012,-0.0265111671652389,-4.412634762529699,25.26112492884004,2,2,4,1.192301753572707,Q3
Nc1ccccc1,Nc1ccccc1,polar-aprotic,10,0.5053575046076688,0.475681685894591,-0.0296758187130778,-6.238587608700553,134.10736969541455,1,1,0,1.200310401610614,Q3
O=CO,O=CO,polar-aprotic,31,0.6421616605690397,0.6121223445646758,-0.0300393160043638,-4.90740393176252,10.264662506490406,1,2,0,0.7843841780481617,Q2
CCC(C)OC(C)=O,CCC(C)OC(C)=O,polar-protic,10,0.3349304846539953,0.3018425251809846,-0.0330879594730107,-10.961993991128724,78.59772060569361,3,2,2,1.7909022851013,Q4
CC(=O)CC(C)=O,CC(=O)CC(C)=O,polar-protic,10,0.3388555498337536,0.3018590473106418,-0.0369965025231118,-12.25621787808763,82.25327665163482,2,2,2,1.475749697986334,Q4
OCc1ccccc1,OCc1ccccc1,polar-protic,36,0.7889592331200536,0.7501587607471838,-0.0388004723728697,-5.172301438461262,145.73281445033504,1,1,1,1.2581290366167817,Q3
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,polar-protic,10,0.4639063113297106,0.4232381698246203,-0.0406681415050902,-9.608807618165,89.19188266301451,3,2,0,1.843591881250227,Q4
CCCC(C)=O,CCCC(C)=O,polar-protic,30,0.2334982552168155,0.1909603493354703,-0.0425379058813451,-22.27577925437103,47.900134529890124,2,1,2,1.1048958659373302,Q2
COCC(C)OC(C)=O,COCC(C)OC(C)=O,polar-protic,33,0.6678940857563058,0.6190614127149264,-0.0488326730413793,-7.888179110893237,90.30376252379816,3,3,3,2.049121766531747,Q4
CCCCOCCO,CCCCOCCO,polar-protic,22,0.7268931202648649,0.6768764824554592,-0.0500166378094056,-7.389330122382698,31.509775004326936,2,2,5,1.223379138190007,Q3
ClCC1CO1,ClCC1CO1,polar-protic,18,0.6253387509686325,0.574419832020032,-0.0509189189486004,-8.864408244669509,33.87430298092722,2,2,1,1.235139013439774,Q3
COc1ccccc1,COc1ccccc1,polar-protic,36,0.5500433892810673,0.472980001146132,-0.0770633881349353,-16.293159953527457,145.73281445033504,1,1,1,1.2581290366167817,Q3
CCCBr,CCCBr,non-polar,15,0.5181780915643585,0.4390677930168352,-0.0791102985475232,-18.0177867303717,5.245112497836532,1,1,1,0.5594196682196043,Q1
CC1CCCCC1,CC1CCCCC1,non-polar,41,0.9841663595032144,0.9029952088115004,-0.0811711506917141,-8.989100927628346,42.0,0,0,0,0.2088851412958823,Q1
CCCOCCC,CCCOCCC,polar-protic,40,0.5333198370153239,0.4388074816844898,-0.094512355330834,-21.538455763794403,23.360990398949916,1,1,4,0.6495181852451524,Q1
CC(=O)OC(C)=O,CC(=O)OC(C)=O,polar-protic,18,0.7022898906100667,0.6014741523517887,-0.100815738258278,-16.761441512338372,83.10802962390817,3,3,0,2.0133341074002957,Q4
ClC=C(Cl)Cl,ClC=C(Cl)Cl,non-polar,38,0.5467023004174345,0.4163591006946058,-0.1303431997228287,-31.305476331699985,42.854752972273346,1,3,0,1.1464695507098441,Q2
