pair_id,n_temps,apelblat_r2,A,B,C,model_rmse,curve_rmse,slope_correlation,holdout_rmse,holdout_apelblat_rmse
Brc1cc(Br)cc(Br)c1||CC(=O)N(C)C,9,0.9998395551176976,3.1496674709804657,-3139.4998119507404,1.0615179270310642,0.43140694077574154,0.44025644982357354,-0.1327386508116129,0.43140694077574154,0.0026045068882581835
O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1||COC(C)COC(C)COC(C)CO,11,0.9996963365095302,-86.02119902217578,876.8279783741473,13.730030519214264,0.29033627797539,0.30199622371281915,-0.29073321611990766,0.29033627797539,0.0041331271051092576
O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1||COCC(C)O,11,0.9997294756878975,-143.84652615767004,2196.9895796196574,23.004993490022308,0.3376224314363039,0.34600004147374497,-0.33571538650868066,0.3376224314363039,0.005719205505055277
O=P(c1ccccc1)(c1ccccc1)c1cc(O)ccc1O||CCOCCO,15,0.9988187249381164,-11.871158102549566,-1048.7196219644864,2.309576919013193,0.17275791446330566,0.16258815786989986,-0.6740596095369572,0.17275791446330566,0.00529543550399536
O=P1(C(Nc2ccccc2)c2ccccc2)OCC2(CO1)COP(=O)(C(Nc1ccccc1)c1ccccc1)OC2||CC(=O)O,9,0.9970979631768572,617.6490151333212,-31998.21255827219,-90.65777246329773,0.05902002413557894,0.05690112493634436,0.24728177531850937,0.05902002413557894,0.009709312120731487
O=P1(C(Nc2ccccc2)c2ccccc2)OCC2(CO1)COP(=O)(C(Nc1ccccc1)c1ccccc1)OC2||ClCCl,7,0.9945836021334098,714.0941009244311,-34236.49744989874,-106.11696990801714,0.3650586840607738,0.3644089718630886,0.04738414860128369,0.3650586840607738,0.009795835787734804
O=P1(C(Nc2ccccc2)c2ccccc2)OCC2(CO1)COP(=O)(C(Nc1ccccc1)c1ccccc1)OC2||c1ccccc1,12,0.9981165670601303,558.4983140615419,-28941.165046973543,-82.21937858062046,0.15315342440641697,0.1536867204368299,0.06082623469840367,0.15315342440641697,0.012214462194997392
O=P1(O)OCC2(CO1)COP(=O)(O)OC2||ClC(Cl)Cl,10,0.9993862574511733,-43.36644702176622,-1071.4888488126755,7.367910042633344,0.21067793374453053,0.20051437873752034,-0.26360913083666293,0.21067793374453053,0.0052857617590553515
O=P1(O)OCC2(CO1)COP(=O)(O)OC2||c1ccccc1,10,0.9995241518447103,17.943189482739353,-4210.036902509448,-1.626603501336534,0.13586195740543577,0.14472285459750614,-0.07319586476157583,0.13586195740543577,0.00507927418715297
O=P1(Oc2ccccc2)OCC2(CO1)COP(=O)(Oc1ccccc1)OC2||CCOCCO,16,0.9998609967577528,-28.088161045837264,-1490.1552895964642,5.242668736517278,0.3668815907573913,0.3571284482236694,-0.7481334323110788,0.3668815907573913,0.0035056451556812296
O=P1(Oc2ccccc2)OCC2(CO1)COP(=O)(Oc1ccccc1)OC2||c1ccccc1,12,0.9882255328215541,9.331839332508439,-882.2409808856745,-1.8731269323482436,0.40752967461971973,0.39479790705244383,0.07596452132952201,0.40752967461971973,0.0022555763037014048
O=P1(Oc2ccccc2)OCC2(CO1)COP(=O)(Oc1ccccc1)OC2||c1ccncc1,8,0.9985381664305562,5.030520576035687,-1547.794058625438,-0.3599026239101415,0.1797255695667658,0.17011134638836806,0.06499178451086038,0.1797255695667658,0.002825128034132388
O=P1(c2cc(O)ccc2O)Oc2ccccc2-c2ccccc21||CCOCCO,16,0.9996488456122207,-11.846947531998655,-3835.7959913533828,3.565356378917557,0.29291762087703893,0.28415100122192133,-0.7046257190608387,0.29291762087703893,0.008672892236484379
O=P12OCC(CO)(CO1)CO2||CCCOCC(C)O,11,0.9998576131331695,-58.11320856322445,-1608.079438530286,10.446789147348825,0.21419224363648326,0.21251171937826252,-0.42690910290224604,0.21419224363648326,0.004006524469991319
O=P12OCC(CO)(CO1)CO2||COC(C)COC(C)COC(C)CO,11,0.9996795143344349,-25.32108598405697,-1218.4389000250692,4.733903621434723,0.1828894988719698,0.1742770624393315,-0.4162510026413854,0.1828894988719698,0.003322643172688421
O=P12OCC(CO)(CO1)CO2||COCC(C)O,11,0.9996438528969503,-1.253173030867066,-2277.2834955873614,1.298808832910621,0.455343336902079,0.44677773989238684,-0.4677213393605178,0.455343336902079,0.0034647594893396157
O=P12OCC(CO)(CO1)CO2||ClC(Cl)Cl,7,0.9996527402091699,-5.638941858990577,-1336.7917636946786,0.985217578276172,0.4060711640351831,0.40522435380197724,0.025545828687606503,0.4060711640351831,0.001384730087021795
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1||CC(=O)OC(C)C,8,0.9962696827973264,-276.21201576011487,11322.12756645304,41.57547688103708,0.27325306596730625,0.2656093505649058,0.06349435251815987,0.27325306596730625,0.0033491112367279975
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1||CCOC=O,8,0.99806931186277,-149.9508778332867,5934.649169904512,22.51713231968354,0.11983950080756331,0.11218291185880218,0.0727383399741216,0.11983950080756331,0.0017914169204334078
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1||COC(=O)OC,8,0.9994961890591098,-95.658756922266,2481.4719231043605,14.972903665695052,0.046048037176837614,0.05046383953510299,0.10077290916607977,0.046048037176837614,0.002482250273962242
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1||O=C1CCCCC1,8,0.9965377553174048,-419.8818444816631,16983.939491343193,63.83642712340796,0.24688467429238553,0.23965999316976844,0.0850740499900459,0.24688467429238553,0.0062774287197268274
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||BrCBr,9,0.9960432248485199,-24.891250843463368,728.3437091644357,2.8895262659516034,0.39780120899922433,0.40554819534614467,0.0020653630296281894,0.39780120899922433,0.0005983507669026236
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]||Brc1ccccc1,9,0.9987563254457082,-40.59234584762794,1329.7230462076323,5.294725624165291,0.25110907923508585,0.2556148073744064,0.012801790461737642,0.25110907923508585,0.0006240240011197993
