Source,Solute,Solvent,Num_Temps,RMSE_Known,R2_Known,R2_Synthetic,RMSE_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap,Shape_Correlation,Curve_Max_Deviation,Curve_Within_Tolerance,Mean_Signed_Error,Pct_Over_Prediction,Bias_Category,Curve_Position,Category
train,O=[PH](O)c1ccccc1,ClC(Cl)Cl,7,0.24587619937986768,-2.058512580272776,0.18130220463546132,0.28933307825523713,-30.461046241970525,-0.5279029842696386,0.9998217840591257,0.2560892831760455,True,-0.24576587659291585,0.0,Under,Below,Poor
train,O=[PH](O)c1ccccc1,O,12,0.24523509315595063,0.6935895951578731,0.6103041922033863,0.5638106882141786,0.6483208003441845,0.6744301087131459,0.9991176295999631,0.4409283593530957,True,-0.029918101566537552,50.0,Balanced,Intersects,Moderate
train,O=[PH](O)c1ccccc1,c1ccccc1,8,0.5146209949023918,-1.3758854977730723,0.19948591562524975,0.6795524997243131,-9.404691175290782,-0.26412585619584616,0.9997819237546869,0.7468048242933634,False,-0.4847143635427036,0.0,Under,Below,Poor
train,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CC(C)=O,9,0.19449363521440607,-0.06199961688149358,0.7534653747957246,0.20126883029236428,-8.227080046474093,0.6432458460760269,0.998826227593782,0.23502155413621928,True,-0.18951332295769407,0.0,Under,Below,Poor
train,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CC(C)O,9,0.08680140870784933,0.8838384196932136,0.7678898898912885,0.26329020000290554,0.8328528436387289,0.8724694254934197,0.9995562160390024,0.16169616378883944,True,0.06203866377994517,100.0,Over,Above,Good
train,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CCCO,9,0.07359324596129752,0.9020244710666319,0.7825509304737899,0.2353823900444926,0.861941597104019,0.8876310493861322,0.9994352377058069,0.13410126377402598,True,0.055870382106442254,100.0,Over,Above,Good
train,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CCO,9,0.09772295783808757,0.8554990481792213,0.7279791076834592,0.2882032663041859,0.7765336948902977,0.8408555115133446,0.9991434153920062,0.1905273263045908,True,0.06372895859996165,77.77777777777779,Over,Intersects,Good
train,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CCOC(C)=O,9,0.15714866988657739,-0.30323556034978094,0.93658530899289,0.07478974859767219,-11.66158727330003,0.7214335179317821,0.9971684528655393,0.17125052426527176,True,-0.15402084972776425,0.0,Under,Below,Poor
train,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CO,9,0.0323668942925405,0.9622206485236428,0.9485155094520334,0.08099636387556045,0.5500869392452175,0.9987906774062856,0.9995632402348877,0.034567821776178675,True,-0.021994973832073654,22.22222222222222,Under,Intersects,Excellent
train,O=c1[nH]c2ccccc2c(=O)o1,C1COCCO1,8,0.13929016040720807,-0.45212484617094373,0.477357147039015,0.16108399609739485,-7.48967932391362,0.26821112000048997,0.9987528118886274,0.16970512835970641,True,-0.13807052190642807,0.0,Under,Below,Poor
train,O=c1[nH]c2ccccc2c(=O)o1,CC#N,9,0.053070457003918756,0.8385347198903016,0.8984279737179164,0.08971059539375391,0.16222165983921533,0.8833842769495943,0.9998776013631739,0.09567928050680763,True,-0.042210775929775894,11.11111111111111,Under,Intersects,Good
train,O=c1[nH]c2ccccc2c(=O)o1,CC(=O)OC(C)C,9,0.3306341736379128,-7.372731998212954,-0.5506365208939545,0.3056310649685189,-46.503342756383624,-2.3682417908574522,0.9992140573793242,0.35353020074429975,True,0.3297841592074576,100.0,Over,Above,Poor
train,O=c1[nH]c2ccccc2c(=O)o1,CC(C)=O,9,0.06418567793320662,0.663331361343173,0.7019558895692775,0.12904805797065427,-0.06919957510795371,0.6973015755751663,0.9955405492840115,0.07942733521532475,True,-0.06087188769020598,0.0,Under,Below,Moderate
train,O=c1[nH]c2ccccc2c(=O)o1,CC(C)O,9,0.07453103143201517,0.8676421323539509,0.936583724071408,0.11005742623442269,0.34492438845000084,0.9454803772479196,0.9999963038708514,0.10144541471346713,True,0.07158122175326748,100.0,Over,Above,Good
train,O=c1[nH]c2ccccc2c(=O)o1,CCC(C)=O,9,0.032383661798313014,0.8840013215606437,0.9193322715452177,0.05765298094210266,0.877397459661899,0.8901643345612664,0.9958461868990538,0.0715069564622155,True,-0.006712361579895483,55.55555555555556,Balanced,Intersects,Good
train,O=c1[nH]c2ccccc2c(=O)o1,CCCO,9,0.14847388338211365,0.22045628241816617,0.8932424744812194,0.117028799880826,-3.707564278524984,0.687163100213471,0.9999483376313804,0.16325737919179062,True,0.14793592763865107,100.0,Over,Above,Moderate
train,O=c1[nH]c2ccccc2c(=O)o1,CCCOC(C)=O,9,0.2612619751890022,-4.506550963010619,0.09132759368649102,0.22731105245651181,-35.07354216780316,-1.0376013549118026,0.998693874190212,0.2863643977255741,True,0.2598187573977546,100.0,Over,Above,Poor
train,O=c1[nH]c2ccccc2c(=O)o1,CCO,9,0.12366842171017353,0.431890998286072,0.9336327847890457,0.0899842830955535,-2.770432168600203,0.7861652651998723,0.9998100212931935,0.12999051426529462,True,0.12334686415847927,100.0,Over,Above,Moderate
train,O=c1[nH]c2ccccc2c(=O)o1,CCOC(C)=O,9,0.0655955906238202,0.5901363987363735,0.9663977319763918,0.040340138225085614,-1.3410340653696609,0.8508470701823344,0.9992435381920356,0.09157873405352501,True,0.05908016329703268,100.0,Over,Above,Good
train,O=c1[nH]c2ccccc2c(=O)o1,CO,9,0.07555795715878136,0.8464965089145131,0.8720085767642577,0.14707013586717932,0.1297066272915044,0.9276910450058401,0.9980040097353715,0.10580020535226708,True,0.06221639016733062,88.88888888888889,Over,Intersects,Good
train,O=c1[nH]c2ccccc2c(=O)o1,COC(C)=O,9,0.03780114492603518,0.869874422004637,0.9851852980622697,0.0273637796932437,-0.17939604105056883,0.994830627513855,0.9976069749786367,0.045443483740301716,True,0.030810093746562198,100.0,Over,Above,Excellent
train,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CC(C)O,9,0.13118532088788856,0.642363199645595,0.8490871423182396,0.18308037834105348,-0.7595988525285049,0.8409681353630015,0.9997717624716724,0.18024310482313322,True,0.12530364888081508,100.0,Over,Above,Moderate
train,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CCO,9,0.14847277173497367,0.5649167554956371,0.7956534554426549,0.21857005982452138,-1.9294586266994656,0.7933567851390262,0.999559258440263,0.21807835634366146,True,0.13621897159073773,100.0,Over,Above,Moderate
train,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CN(C)C=O,9,0.16085676803035928,0.5249677112634685,0.6408829962714857,0.3010196836863761,-0.2945453332435026,0.6305980605601793,0.9996494722189493,0.2929455334002924,True,0.11740718934656752,88.88888888888889,Over,Intersects,Moderate
train,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CS(C)=O,9,0.45989172704803527,-4.4517890814104435,-0.7959971664066807,0.5630296977286541,-33.2565528248501,-1.7674613288454597,0.9963458893534561,0.5652619582764586,True,-0.45504362405394416,0.0,Under,Below,Poor
train,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,O,9,0.13906559995932613,0.6418701944531322,0.8067781329345968,0.218894452373683,-1.193239435462261,0.8195191361424455,0.9984985874774381,0.20270846167929335,True,0.12444030461839015,88.88888888888889,Over,Intersects,Moderate
train,O=c1[nH]cc(F)c(=O)[nH]1,C1CCOC1,8,0.07956360609333478,-0.07441931637444688,0.5802088828654973,0.07763389983711277,-14.02666390882445,0.5095206090960155,0.9987748786886388,0.12403297469803043,True,0.031575697407690256,62.5,Over,Intersects,Poor
train,O=c1[nH]cc(F)c(=O)[nH]1,C1COCCO1,12,0.05123024471101323,0.8434673340714665,0.8258979065335822,0.11586480085713811,0.49537877939146746,0.8592583204749923,0.9985547591207008,0.08981727601330736,True,-0.042161780765244926,0.0,Under,Below,Good
train,O=c1[nH]cc(F)c(=O)[nH]1,CC#N,10,0.02694224751157189,0.9736213618252386,0.9117624538286093,0.09614601923223025,0.9299521640951596,0.9648920758147435,0.9999808058433993,0.04254499724219585,True,-0.006013089072635936,40.0,Balanced,Intersects,Excellent
train,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)=O,9,0.02976345644949709,0.8915418705348611,0.9770533340995927,0.028315268351629445,-0.2313490008936121,0.940010019841681,0.9976935241801839,0.040904311274845284,True,0.013809797790095921,66.66666666666666,Over,Intersects,Excellent
train,O=c1[nH]cc(F)c(=O)[nH]1,CC(C)O,13,0.039125935849381656,0.9629653927527377,0.9515384280962148,0.08510573472465549,0.6174418012404814,0.9899528126021541,0.997603198863229,0.050890007347476285,True,0.03025784883580038,92.3076923076923,Over,Intersects,Excellent
train,O=c1[nH]cc(F)c(=O)[nH]1,CCCCO,10,0.123932005181616,0.7426809674976349,0.8560622697047997,0.14015360568767232,-4.140680626810383,0.8654626657840292,0.9993219618522173,0.15171531796530324,True,0.11534172133856255,100.0,Over,Above,Good
train,O=c1[nH]cc(F)c(=O)[nH]1,CCCO,13,0.12744129362632586,0.3508187912200449,0.8281107364597466,0.10969110107905217,-2.0808035374925526,0.87518307792643,0.9988743599204513,0.13773940785007888,True,0.12223421603893883,100.0,Over,Above,Moderate
train,O=c1[nH]cc(F)c(=O)[nH]1,CCO,11,0.08015404163806321,0.8165785122553684,0.9217556814559286,0.0939941387372036,0.07428073918491385,0.9248850638055349,0.9982598994720034,0.09578144372519048,True,0.07584399289467285,100.0,Over,Above,Good
