Feature,Target_Correlation,Abs_Correlation
AUTOCORR2D_92,-0.30038635847486905,0.30038635847486905
AUTOCORR2D_62,-0.2970293004645664,0.2970293004645664
abraham_S,-0.2945003939858066,0.2945003939858066
AUTOCORR2D_158,-0.29249136296676903,0.29249136296676903
AUTOCORR2D_166,-0.2905719788199224,0.2905719788199224
EState_VSA3,-0.2857586751891886,0.2857586751891886
AUTOCORR2D_51,-0.2723627223703885,0.2723627223703885
AUTOCORR2D_144,0.271356114874702,0.271356114874702
AUTOCORR2D_112,-0.2708280668962947,0.2708280668962947
AUTOCORR2D_85,-0.2697927310997265,0.2697927310997265
AUTOCORR2D_90,-0.2648230365031755,0.2648230365031755
num_Cl,-0.26291278061969364,0.26291278061969364
NHOHCount,0.26261122285257904,0.26261122285257904
fr_halogen,-0.26089583775321784,0.26089583775321784
AUTOCORR2D_190,-0.26012917218603293,0.26012917218603293
AUTOCORR2D_91,-0.25970109966509064,0.25970109966509064
NumHDonors,0.2544525091836857,0.2544525091836857
AUTOCORR2D_68,-0.25134857019811396,0.25134857019811396
AUTOCORR2D_77,-0.24670544470712144,0.24670544470712144
abraham_A,0.24416915874950426,0.24416915874950426
AUTOCORR2D_88,-0.2391011242910453,0.2391011242910453
AUTOCORR2D_89,-0.23656996990328388,0.23656996990328388
AUTOCORR2D_176,0.23132561718001277,0.23132561718001277
EState_VSA5,-0.2286478784888441,0.2286478784888441
AUTOCORR2D_61,-0.2229058671962472,0.2229058671962472
AUTOCORR2D_152,0.21842713782783874,0.21842713782783874
AUTOCORR2D_181,-0.21803437208811285,0.21803437208811285
AUTOCORR2D_50,-0.2090768007473678,0.2090768007473678
AUTOCORR2D_168,0.20613967652057077,0.20613967652057077
AUTOCORR2D_149,-0.20262626111824533,0.20262626111824533
FpDensityMorgan3,0.20214788546089518,0.20214788546089518
EState_VSA4,-0.20196273501561493,0.20196273501561493
fr_bicyclic,-0.20114846224250604,0.20114846224250604
EState_VSA8,-0.20038280765084365,0.20038280765084365
pred_Tm,-0.19975104000213806,0.19975104000213806
AUTOCORR2D_115,-0.19845616095716653,0.19845616095716653
fr_Al_COO,0.1980937304480182,0.1980937304480182
AUTOCORR2D_137,-0.19740000301635807,0.19740000301635807
AUTOCORR2D_67,-0.19561907761882716,0.19561907761882716
AUTOCORR2D_131,-0.1955306967847769,0.1955306967847769
AUTOCORR2D_84,-0.19388298403995557,0.19388298403995557
AUTOCORR2D_160,0.1932520788675705,0.1932520788675705
FractionCSP3,0.18933270988619674,0.18933270988619674
fr_COO2,0.18926745057434555,0.18926745057434555
fr_COO,0.18868812746707164,0.18868812746707164
AUTOCORR2D_49,-0.18849913379928615,0.18849913379928615
AUTOCORR2D_99,-0.18806136598475778,0.18806136598475778
AUTOCORR2D_173,-0.18531717634208106,0.18531717634208106
AUTOCORR2D_157,-0.18432448078532726,0.18432448078532726
AUTOCORR2D_165,-0.18233311357893614,0.18233311357893614
fr_NH2,0.1803569674637338,0.1803569674637338
NumRotatableBonds,-0.1791394986778711,0.1791394986778711
AUTOCORR2D_76,-0.1761201096705475,0.1761201096705475
HallKierAlpha,0.17317926653727858,0.17317926653727858
PEOE_VSA8,-0.1664590231465677,0.1664590231465677
PEOE_VSA9,-0.1655213448551546,0.1655213448551546
AUTOCORR2D_107,-0.16231189359041465,0.16231189359041465
AUTOCORR2D_123,-0.157131128848659,0.157131128848659
AUTOCORR2D_66,-0.15709891488432146,0.15709891488432146
fr_Al_OH_noTert,0.1534988069270167,0.1534988069270167
fr_unbrch_alkane,-0.15258326552011522,0.15258326552011522
fr_Al_OH,0.15179585123111047,0.15179585123111047
AUTOCORR2D_60,-0.14797791768262974,0.14797791768262974
TPSA,0.14742789452281413,0.14742789452281413
MaxAbsEStateIndex,-0.14615777233042576,0.14615777233042576
MaxEStateIndex,-0.1461034099088951,0.1461034099088951
fr_azo,-0.14423475828287635,0.14423475828287635
AUTOCORR2D_98,-0.14367308891852304,0.14367308891852304
NumAliphaticCarbocycles,-0.14194899036863376,0.14194899036863376
AUTOCORR2D_48,-0.14087948213180243,0.14087948213180243
EState_VSA6,-0.14003779585012943,0.14003779585012943
SPS,-0.14000586955301225,0.14000586955301225
PEOE_VSA1,0.13298906686877518,0.13298906686877518
AUTOCORR2D_65,-0.13016652430807496,0.13016652430807496
AUTOCORR2D_83,-0.12561719289638903,0.12561719289638903
AUTOCORR2D_189,-0.12193694699900433,0.12193694699900433
EState_VSA2,-0.12150163861992504,0.12150163861992504
fr_priamide,0.11567105191890882,0.11567105191890882
mose_cyc5,-0.1156402027351192,0.1156402027351192
NumSaturatedCarbocycles,-0.11380949167640642,0.11380949167640642
fr_ester,-0.1113625729654882,0.1113625729654882
AUTOCORR2D_114,-0.10990901341579697,0.10990901341579697
NumHeteroatoms,-0.1081883243902673,0.1081883243902673
mose_star_5,-0.10646095431820823,0.10646095431820823
AUTOCORR2D_75,-0.10566469250678673,0.10566469250678673
AUTOCORR2D_122,-0.10500576940387116,0.10500576940387116
AUTOCORR2D_138,-0.10500292007657393,0.10500292007657393
fr_ether,-0.10438380183544145,0.10438380183544145
AUTOCORR2D_103,0.1034350144989751,0.1034350144989751
AUTOCORR2D_106,-0.10293063903315745,0.10293063903315745
fr_aniline,-0.10171859127395412,0.10171859127395412
fr_allylic_oxid,-0.10069939160348414,0.10069939160348414
AUTOCORR2D_56,0.09850592324718728,0.09850592324718728
AUTOCORR2D_105,-0.0975110713865879,0.0975110713865879
MinEStateIndex,-0.09744892531559697,0.09744892531559697
EState_VSA9,-0.09721977926383288,0.09721977926383288
EState_VSA7,-0.09708533012744007,0.09708533012744007
