Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
MACCS_125,-0.4205989893115042,1.626474e-318,-0.41388214947724106,1.7321872967509345e-307,0.4205989893115042,0.41388214947724106,0.1769035098098588
mose_fused,-0.4198839573804146,2.495558e-317,-0.4504171195068711,0.0,0.4198839573804146,0.4504171195068711,0.17745464031826508
NumAromaticRings,-0.41896464480190576,8.2731391e-316,-0.3847986631762922,1.4443447154225002e-262,0.41896464480190576,0.3847986631762922,0.17558825428988523
AUTOCORR2D_35,-0.4152838048943986,9.0825745368644e-310,-0.4964017842086403,0.0,0.4152838048943986,0.4964017842086403,0.23716409800088023
AUTOCORR2D_19,-0.4145501386619198,1.422941028567308e-308,-0.4972168258394841,0.0,0.4145501386619198,0.4972168258394841,0.23891194762766266
AUTOCORR2D_44,-0.41286772378325,7.62430665440456e-306,-0.45425044369502793,0.0,0.41286772378325,0.45425044369502793,0.19684501413948308
PEOE_VSA7,-0.4076580258411263,1.7137178574535365e-297,-0.4210984470202685,0.0,0.4076580258411263,0.4210984470202685,0.16815438164787844
AUTOCORR2D_0,-0.3993659767284313,1.671293029102705e-284,-0.5429084134815714,0.0,0.3993659767284313,0.5429084134815714,0.2942993647762455
AvgIpc,-0.3992569269301379,2.4627265946910328e-284,-0.4883555842103632,0.0,0.3992569269301379,0.4883555842103632,0.1775787741230056
num_Cl,-0.39885257726516854,1.0354876979817886e-283,-0.26291278061969364,1.708146156961051e-118,0.39885257726516854,0.26291278061969364,0.16278711611279295
Chi4v,-0.39706839872925526,5.714135809662559e-281,-0.5703480158593237,0.0,0.39706839872925526,0.5703480158593237,0.2222799649350875
RingCount,-0.3940517379070233,2.261736321480498e-276,-0.4146491367371076,9.820092917169866e-309,0.3940517379070233,0.4146491367371076,0.15894071100383322
Kappa2,-0.3935058667269926,1.517913676314373e-275,-0.4366486026143967,0.0,0.3935058667269926,0.4366486026143967,0.18078819582389438
AUTOCORR2D_18,-0.3854211993503674,1.757025491669664e-263,-0.5083863547424008,0.0,0.3854211993503674,0.5083863547424008,0.26454930871293736
AUTOCORR2D_34,-0.38427861044098743,8.364234296669065e-262,-0.5040264385153524,0.0,0.38427861044098743,0.5040264385153524,0.25879188410996723
AUTOCORR2D_1,-0.3819797315538757,1.8948499512793984e-258,-0.5294909993407549,0.0,0.3819797315538757,0.5294909993407549,0.3010363637768281
fr_halogen,-0.37823814482902607,4.794734593997925e-253,-0.26089583775321784,1.1960864193221624e-116,0.37823814482902607,0.26089583775321784,0.14556711740984418
mose_branched_4,-0.36862957310329836,1.713510350616125e-239,-0.39706006802644556,5.884546767612088e-281,0.36862957310329836,0.39706006802644556,0.14700572122420186
AUTOCORR2D_16,-0.3677174354099626,3.137797361359782e-238,-0.529767915704747,0.0,0.3677174354099626,0.529767915704747,0.2850080569017913
AUTOCORR2D_32,-0.3662302108522733,3.5213664850717023e-236,-0.5231670855017085,0.0,0.3662302108522733,0.5231670855017085,0.2790787226363243
AUTOCORR2D_43,-0.3654161686537902,4.6157107550711486e-235,-0.42835816419810807,0.0,0.3654161686537902,0.42835816419810807,0.17666558315385528
AUTOCORR2D_17,-0.3546060167325326,1.581390967139867e-220,-0.5065315925009829,0.0,0.3546060167325326,0.5065315925009829,0.2650956335300646
AUTOCORR2D_33,-0.3530302544849142,1.8653362890380746e-218,-0.5003189911907361,0.0,0.3530302544849142,0.5003189911907361,0.258976553553552
EState_VSA9,-0.35118673863251515,4.780712395376516e-216,-0.09721977926383288,3.552206532454086e-17,0.35118673863251515,0.09721977926383288,0.1507881209929497
Morgan_561,-0.3370822602460956,3.79908394803172e-198,-0.31338342731620167,4.065016304249779e-170,0.3370822602460956,0.31338342731620167,0.11362445017261635
AUTOCORR2D_42,-0.33268844563495237,9.28300819157381e-193,-0.43772602388568294,0.0,0.33268844563495237,0.43772602388568294,0.1934626956894836
Phi,-0.32980495251206554,2.8560868811158722e-189,-0.34234480146096147,1.0219555238251185e-204,0.32980495251206554,0.34234480146096147,0.12242497045285605
abraham_S,-0.32435437402949924,8.840766278913393e-183,-0.2945003939858066,1.4957482756694329e-149,0.32435437402949924,0.2945003939858066,0.10625937744333025
