Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
CC(=O)NCC(=O)O,CCC(C)O,11,283,333,0.7883760583710181,0.0925751308829904,0.8671748686523053,0.14886250304667997,4,True,0.5835080415650333,0.4972983685883743,0.7891668751427723,0.9033268366816257,0.9880933257157507,0.9979200389332057,0.998834102765515,0.8960161064467411,Good
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,9,293,333,0.6590526972225486,0.07653941007103687,0.7702170653195499,0.13529066383241153,4,True,-0.16457912627353566,-0.23876033838358612,0.7419711911778626,0.7211620749366651,0.9970732195857459,0.980524763607486,0.9992440719616935,0.8247346958764654,Moderate
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,9,283,323,0.22644107441210648,0.12942434762461946,0.912232241323155,0.09379670094512424,4,True,-3.857042968697531,-4.316745702657566,0.7122425000929813,0.7540588475154011,0.9969287583900559,0.999643208083341,0.9983435765076862,0.7411993516387839,Moderate
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,8,298,333,-20.489706708129862,0.29241207417826676,-6.576090234554962,0.37785853382520346,4,True,-88.28718038192906,-85.13289049031962,-10.486031336324771,-10.964955553759323,0.9997080472083626,0.9756645276651775,0.9943570484677742,0.3940043152265904,Poor
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCCCCOC(C)=O,9,283,323,-1.350762354482952,0.35794493338946815,0.3470998162596671,0.4059365511497041,4,True,-14.72251897702143,-15.06136032535602,-0.02080907455234038,-0.001358476805077613,0.9999114620552503,0.9990294840185728,0.9999744830098023,0.5039307382835752,Poor
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CN1CCCC1=O,9,278,318,-17.486521229558473,0.5348510146389788,-2.258091151864017,0.4831260380012184,4,True,-124.94742512944862,-124.2141555162053,-6.474006308119481,-6.704137093441563,0.9999003703025979,0.9991139547223287,0.9997238632393198,0.39976756359232973,Poor
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CS(C)=O,7,293,323,-71.1105729223012,1.134624601484588,-13.542591250907712,1.158446981361458,4,True,-1170.0360424504006,-1170.8870123401737,-30.013984171176155,-31.518738900268637,0.9998792244091236,0.9982319889670286,0.9994115595988116,0.39952870971316806,Poor
CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,10,278,323,-0.868163744853842,0.3631899670465019,0.3796397236539576,0.435505791067904,4,True,-16.1839926050969,-14.222420147973315,0.25294339053050463,0.16192300795806946,0.9935953529483613,0.9995028892595699,0.9999438298502552,0.5137812609181523,Poor
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,10,278,323,-0.31985109034808756,0.14377612849005877,0.7861227773884285,0.12155366479988826,4,True,-9.812504931357427,-9.954930406349089,0.45847112242123067,0.5119847039697314,0.9998545785078516,0.9992868951420996,0.999890288117751,0.6356722698684987,Poor
CC(=O)Nc1ccccc1[N+](=O)[O-],OCCO,10,278,323,-4.775658556740214,0.5331042737057035,-0.33276546707468335,0.5329246937871365,4,True,-48.94436525869286,-46.63779374660545,-1.2307444535241538,-1.1897190254999948,0.9961159385961672,0.9980727280504079,0.999294011067348,0.39947334782355126,Poor
