Solute,Solvent,Num_Temps,RMSE_Known,RMSE_Synthetic,R2_Known,R2_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap
CC1(C)COP(=O)(C(Nc2ccccc2)c2cc,ClCCl,8,0.3050268887762006,0.2974714280490173,-1.0,0.5128081827298767,-1.0,0.08960646847591924
CC1(C)COP(=O)(C(Nc2ccccc2)c2cc,c1ccccc1,15,0.10415480710924316,0.24054492100292127,0.9027028580068721,0.8696966689307006,0.45021192783219677,0.9545132295481922
CC1(C)COP(=O)(Oc2cccc(OP3(=O)O,CCCCCC,7,1.8266602843092339,1.8968036171269882,-1.0,-1.0,-1.0,-1.0
CC1(C)COP(=O)(Oc2cccc(OP3(=O)O,CCOC=O,7,0.2336958311380886,0.2790654583764429,-1.0,0.22231618256469776,-1.0,-0.32951057022798014
CC1(C)COP(=O)(Oc2cccc(OP3(=O)O,ClCCCl,9,0.23851805796139647,0.3031618041677815,-1.0,0.231091038593209,-1.0,-0.18637435031362348
CC1(C)CO[P+]([O-])(Oc2c(Br)cc(,ClCCl,5,0.5573955843976884,0.5490834564675987,-1.0,-1.0,,
CC1(C)NC(=O)NC1=O,CCC(C)O,9,0.1700892821459028,0.1579123901473876,-0.6514466691696283,0.6918202035977317,-1.0,0.3251060929961168
CC1(C)NC(=O)NC1=O,CCCOC(C)=O,9,0.19047653048632018,0.22054868794344928,-1.0,0.3378053405947282,-1.0,-0.15753440292362764
CC1(C)OC2CC(=O)OCC23C1CC(=O)C1,CCCCOC(C)=O,9,0.544117532740866,0.5183749615700379,-1.0,-1.0,-1.0,-1.0
CC12CC=C3C4=C(CCC3C1CCC2(O)CC#,COC(C)(C)C,10,1.3903978162884523,1.4531822756145232,-1.0,-1.0,-1.0,-1.0
CC12CCC(CC1=O)C2(C)C,Cc1ccc(C(C)C)cc1,9,0.1415744654275454,0.2209240324281879,-1.0,-1.0,-1.0,-1.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CCC(C)O,8,0.4474573762383707,0.45472341371346203,-1.0,-0.4089324064725737,-1.0,-1.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CCCCCCCC,8,1.3363566277843788,1.274476894998635,-1.0,-1.0,-1.0,-1.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CCCCCCCCCCCC,8,1.2676930856313562,1.2261950626241325,-1.0,-1.0,-1.0,-1.0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CCCCCCCCCCCCCCCC,8,0.6053531045195533,0.6889707572371013,-1.0,0.2942611817665065,-1.0,-0.11486177724954949
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CCCCCCCCCO,8,0.215117397539503,0.19141642805904233,-1.0,0.629476926726606,-1.0,0.1684747203849567
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CCCCCCCCO,8,0.3475776259473211,0.31619768871757853,-1.0,0.4237505597270682,-1.0,-0.18124594074207856
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,CN1CCCC1=O,8,0.4323065195418799,0.4718292846926548,-1.0,0.17999958618328815,-1.0,-0.4697762361432005
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,NCCO,8,0.38180868667821427,0.6323328669553548,0.13958300226606246,0.5065661506759522,-1.0,0.521331130617954
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=,O=CN1CCOCC1,8,0.4574908149881168,0.4988157553411819,-1.0,-1.0,-1.0,-1.0
CC1=CC(=O)c2ccccc2C1=O,CCc1ccccc1,10,0.06927461447067537,0.22165259789330222,0.8547239589593947,0.7068254854754178,0.033715240463689344,0.8682145998243146
CC1=CC(=O)c2ccccc2C1=O,Cc1cccc(C)c1,10,0.10682366311656145,0.2163047192634199,0.5120684880646151,0.5890442590513416,-0.8918268311398001,0.6100608765046076
CC1=CC(=O)c2ccccc2C1=O,Cc1ccccc1C,10,0.14015432918344214,0.27267963193902073,0.06030248771968738,0.3039323588205175,-1.0,0.2868982205962127
CC1=CC(=O)c2ccccc2C1=O,c1ccccc1,10,0.44815478199995346,0.5620768163661923,-1.0,-1.0,-1.0,-1.0
CC1=NNC(=O)N(N=Cc2cccnc2)C1,CN1CCCC1=O,9,0.09466615078872431,0.14779419377010433,0.6286738535443555,0.8031575386531457,-1.0,0.8100296934729867
CC1=NNC(=O)N(N=Cc2cccnc2)C1,CS(C)=O,6,0.4698832178557557,0.4892271509936377,-1.0,-1.0,,
CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C,CC(=O)CC(C)C,9,0.34164621951515456,0.33955015126461224,-1.0,-1.0,-1.0,-1.0
CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C,COC(C)(C)C,9,0.15867935633298888,0.22946665192905996,-1.0,-0.16025101003019904,-1.0,-1.0
CC1CCC2(OC1)OC1CC3C4CC=C5CC(O),CCCOC(C)=O,12,0.15932753852894388,0.17258235134779126,-0.4436609266364475,0.716363792219159,-1.0,0.40368426044858685
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C,CC(=O)OC(C)C,9,0.3022005940838094,0.2972929999317368,-1.0,0.54650756377981,-1.0,0.14664877065440252
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C,CCCCCC,9,1.8151162852435747,1.876383785758143,-1.0,-1.0,-1.0,-1.0
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C,CCCCCCC,9,1.8711117529255594,1.9216236080417621,-1.0,-1.0,-1.0,-1.0
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C,COC(C)(C)C,9,0.8501612688000466,0.9267095475944535,-1.0,-0.4897794217403397,-1.0,-1.0
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC,CC(O)CO,9,0.4745927659947193,0.5382290384760526,-1.0,-1.0,-1.0,-1.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(,CCCCCCCCO,9,1.6550258428148017,1.5845447865862525,-1.0,-1.0,-1.0,-1.0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(,ClC(Cl)(Cl)Cl,9,0.23985613603054992,0.28164670544955367,-1.0,0.5465869215639888,-1.0,-0.470715814960073
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(,ClCCl,9,0.09783441712854718,0.13244070318381246,0.11320635079945085,0.7848850378202444,-1.0,0.547892568819903
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c,CCCCCC,9,1.731514118751942,1.7459198660424986,-1.0,-1.0,-1.0,-1.0
CC1OC(OCC2OC(Oc3c(-c4ccc(OCCO),CCC(C)O,8,0.16159831937134053,0.23648444366384955,0.572834126972795,0.8118954183680299,-1.0,0.7429303661392578
CC=CC(=O)O,CC(=O)O,6,0.26706783863275646,0.24528513204250985,-1.0,-0.6896745418772954,,
CC=CC=CC(=O)O,COC(C)(C)C,9,0.15499884713592865,0.17757437510556304,-0.013083447635176215,0.7283008632681478,-1.0,0.6021504220590352
